st_gene_id	gene_id	gene_symbol	read_count_BN5_1_1	read_count_BN5_1_2	read_count_BN5_2_1	read_count_BN5_2_2	read_count_N5_1_1	read_count_N5_1_2	read_count_ctrl_2_1	read_count_ctrl_2_2
G10090_6926	27176	Rpl7a	27144.63	23418.54	13855.89	15443.23	23858	26353.42	30277.92	31461.6
G10090_21220	237886	Slfn9	752.5	802.12	624.22	759.08	771.92	603.45	782.44	679.47
G10090_463	233532	Rsf1	1341.84	1224.94	1060.71	1672.78	1417.88	1208.26	1556.12	1541.12
G10090_9874	226250	Afap1l2	3	1	0	1	0	1	0	0
G10090_21353	74614	Ocstamp	0	0	1	1	1	3	0	0
G10090_7342	97130	C77080	24	37	32	53	88	105	46	24
G10090_27116	15254	Hint1	2083	1833	921	990	1914	2030	1003	1286
G10090_1588	240776	Kcnt2	0	0	1	0	0	0	0	0
G10090_18649	102639847	LOC102639847	0	0	4	5	0	0	0	0
G10090_19164	215751	Ginm1	483	463	421	478	523	508	486	584
G10090_3640	14812	Grin2b	1.1	0	1	0.94	0	1.01	1	1.02
G10090_1675	94186	Strn3	845	795	753	965	844	765	778	807
G10090_17329	13733	Adgre1	20	25	69	50	50	69	61	73
G10090_20379	75516	Ttc32	220	206	146	152	164	172	127	131
G10090_21645	233335	Synm	0	1	0	2	0	7	0	0
G10090_9504	27279	Tnfrsf12a	15	17.06	29.1	59	46	49	200.62	214.65
G10090_3540	70028	Dop1b	902.64	875.92	1225.4	1794.93	1799.76	1659.92	2169.19	1836.23
G10090_20259	17395	Mmp9	11	9	92	115	148	162	48	53
G10090_12174	547253	Parp14	2069	2280	3295	4392	3433	2895	6262	4697
G10090_23298	52653	Nudcd2	538	466	202	227	575	615	341	328
G10090_6497	100303732	Zfp967	60.27	55.37	76.6	0	85.23	13.05	162.66	155.78
G10090_18519	69640	Fam83g	25.51	26	21	24	69	94.37	4	5
G10090_19445	102638555	Gm38510	0	3.12	18.1	3.1	2.43	1.15	1.49	4.18
G10090_22512	217674	Gphb5	0	0	0	0	0	0	1	0
G10090_22967	71912	Jsrp1	4	2	1	0	1	4	2	6
G10090_10647	238247	Arid4a	1842	1666	1704	2415	1763	1512	2326	2267
G10090_7912	12895	Cpt1b	97	93	75	90	87	94	95	97
G10090_11843	670593	Gm9495	1.09	0	0	0	0	0	0	0
G10090_3345	74309	Osbp2	1	0	0	0	2	1	0	0
G10090_15016	22045	Trhr	0	0	0	2.66	0	0.81	0	0.8
G10090_2223	52468	Ctdsp2	8021	6881	4060	5180	5703	5778	4766	4422
G10090_3762	231051	Kmt2c	1924	2024	2838	4618.04	2153	1575	5476	4990
G10090_15048	16500	Kcnb1	29.6	36	21	35.01	35.11	43	9	16.58
G10090_820	69462	Slurp2	0	0	0	0	0	0	0	1
G10090_11365	226977	Actr1b	1373	1250	1090	1422	1285	1410	1419	1470
G10090_9830	234076	Tmco3	349.05	296.15	367.61	504.22	268.12	302.15	211.86	205.12
G10090_19843	223722	Mcat	351	340	233	226	262	321	207	226
G10090_28339	56214	Scamp4	933	778	673	742	903	1028	1212	1256
G10090_29949	408193	Otud6a	0	1	0	0	0	0	1	0
G10090_5506	50796	Dmrt1	0	0	0	0	0	1	0	0
G10090_32109	234847	Spg7	1081	928	613	890	939	996	1182	1103
G10090_5712	12677	Vsx2	0	1.87	0	0	1.42	0	1.61	2.26
G10090_10838	74838	Naa15	2007.02	1987.38	1507	1972.06	2139	2048.99	2350	2338.63
G10090_12425	64138	Ctsz	971	910	786	887	1785	1985	711	709
G10090_31864	227656	Rexo4	815	748	701	874	802	881	1035	981
G10090_19354	70233	Cd2bp2	2337	2062	1276	1655	2178	2399	1511	1436
G10090_26146	77777	Ulbp1	125	126.8	76	134.86	86	58	135	139
G10090_31379	21925	Tnnc2	2	2	0	1	5	5	2	3
G10090_12573	50875	Tmod3	2587.98	2198.55	2326.76	3223.48	2649.53	2614.09	3063.3	3149.95
G10090_15030	68046	2700062C07Rik	209	178	101	115	180	181	115	106
G10090_16038	69192	Dhx16	1823	1595	1270	1899	1665	1842	1887	1970
G10090_26174	69329	Cfap206	0	0	0	0	0	1	0	0
G10090_23755	223927	Gtsf2	0	0	2	0	0	1	2	0
G10090_13005	333433	Gpd1l	1537	1216	1002	1408	1488	1503	1789	1963
G10090_13820	320311	Rnf152	3.19	7.25	33.9	33.43	20.16	27.9	0.39	9.28
G10090_23290	20167	Rtn2	3	1	5	2	16	7	1	4
G10090_29813	100529082	Gm11127	263.29	255.97	358.15	368.07	210.62	195.15	75.95	87.38
G10090_27245	56275	Rbm14	1254.43	1032.28	958.44	1206.69	1457.49	1515.57	1087.75	980.33
G10090_5846	237107	Gnl3l	1238.32	1006.31	795.43	872.67	1048.14	982.4	960.58	852.22
G10090_9710	225256	Dsg1b	0	1.15	0	3.18	1.5	3.31	1.86	3.28
G10090_26965	436196	Gm5755	0	0	0	0	0	0	0	0
G10090_9077	67736	Ccdc130	249	224	195	287	209	185	211	228
G10090_11301	19347	Dennd5a	3106	2890	3495	4626	1475	1217	986	994
G10090_9651	235072	7-Sep	5496	4809	3064	3597	4850	4590	2812	3038
G10090_10331	234086	Erich1	515.85	443.7	445.2	470.51	465.28	442.14	452.31	433.37
G10090_7169	214763	Cgas	109.84	133.71	93.58	116.65	108.01	121.43	230.44	249.17
G10090_587	214951	Rhbdl1	223	226	212	274	206	187	228	246
G10090_7107	22720	Zfp62	1115	1094	793	1294	1157	1103	1132	1135
G10090_2648	545205	Olfr111	0	0	1	0.52	1.58	0	0	0
G10090_26853	68895	Rasl11a	91	79	74	85	158	200	13	18
G10090_1281	384214	Ephx4	0	0	0	0	3	5	0	2
G10090_2685	12064	Bdnf	2	3	0	1	0	1	1	0
G10090_2678	21452	Tcn2	539	422	328	445	539	559	176	195
G10090_20683	15168	Hcn3	45	53	75	112	43	51	268	195
G10090_2934	229584	Pogz	1177.06	1082	1212	1779	1242	1123	1839.87	1726.19
G10090_15201	56330	Pdcd5	888.21	872.16	567.94	654.29	824.48	871.92	550.78	625.72
G10090_7335	70791	Hars2	441	405	285	420	400	385	442	519
G10090_32717	20556	Slfn2	3865.84	3649.88	3528.76	3965.78	3908.55	4236.33	4367.26	4359.16
G10090_3997	13191	Dctn1	2093	1918	1784	2476	2213	2201	2654	2445
G10090_16646	665858	Gm7827	0	0	0	0	1.13	2	0	0
G10090_24121	246278	Cd207	0	0	1	2	0	0	1	1
G10090_9304	75689	Higd1b	0	1	0	1	1	0	0	1
G10090_22243	101861	Ints4	829	800	525	702	809	774	577	562
G10090_9999	384071	Slc25a34	5	9	9	22	6	2	0	3
G10090_6907	245269	Nim1k	4	0	9	10	2	3	23	14
G10090_33260	239283	Oxgr1	4.47	2	1	0	2	3.62	0	0
G10090_2912	66308	Mplkip	552.84	462.66	297	386.02	392.39	439.16	319.07	317.13
G10090_26206	66827	Ttc1	638	547	671	697	542	640	486	517
G10090_21821	19076	Prim2	533	432	211	254	507	536	257	280
G10090_9646	237847	Rtn4rl1	32	30	40	40	63	68	445	408
G10090_1240	12296	Cacnb2	1.96	0	0	0	1	1.99	0	2.99
G10090_33922	51795	Srpx	0	1	0	0	0	0	0	0
G10090_21300	72371	2210408I21Rik	12	16	8	14	9	14	10	10
G10090_4528	66260	Tmem54	0	1	0	0	1	1	1	0
G10090_24342	216177	AU041133	30.43	41	18	35.01	26.24	33.56	33.66	26.39
G10090_16690	66999	Med28	934	773	769	844	774	941	718	650
G10090_13189	75687	Ripor1	313.01	268.4	316.76	441.12	392.17	349.27	498.33	429.01
G10090_28556	67470	Abcg8	0	0	0	0	0	0	1	0
G10090_18421	330301	Zfp786	2	0	0	0	0	5	1	0
G10090_23792	93704	Pcdhgb7	24.67	30.54	7.8	11.38	46.91	56.12	14.13	13.34
G10090_11142	71412	Dhrs2	1	1	0	2	1.01	1	4	2
G10090_15855	18519	Kat2b	782	797	706	926	895	845	1637	1395
G10090_6665	545758	Gm5868	0	0	0	0	0	0	0	1
G10090_32641	227707	BC005624	967.57	911.83	864	1134.07	822.02	881.18	865.14	926.86
G10090_26460	50764	Fbxo15	1	2	1	0	3	2	1	8
G10090_8655	20540	Slc7a7	69.22	45.33	24.11	25.22	144.17	137.74	16.1	17.08
G10090_14671	105245369	Gm40835	9.16	6.83	8.04	13.42	18.86	21.77	16.65	21.69
G10090_5289	212439	AA986860	2	1	2	5	4	4	6	8
G10090_8835	110651	Rps6ka3	2911	2593	2147	2804	2213	1922	3047	3211
G10090_10899	74498	Gorasp1	10.83	7.04	12.4	13.5	49.66	55.91	77.4	80.14
G10090_36	18174	Slc11a2	568.52	508.4	318.03	394.58	669.96	749	1222.04	1133.64
G10090_5435	15381	Hnrnpc	7700.28	6299.44	5005.65	6731.35	7537.22	7782.76	7531.65	7893.3
G10090_4932	217837	Itpk1	1105	956	1764	2137.5	2019.06	2028	1788	1653
G10090_1148	229665	Ampd1	1	2	0	1	4	3	148	226
G10090_13801	28113	Tinf2	724.44	673.55	981.39	1407.56	867.55	973.39	913.41	859.26
G10090_25370	98365	Slamf9	4	2	2	6	2	4	11	13
G10090_11964	66975	Trappc13	497.97	453.63	320.55	383.47	459.41	440.36	405	354.81
G10090_29397	14675	Gna14	3	3	4	2	22	21	2	0
G10090_28957	105246904	Gm42102	190.01	107.17	1695.27	2521.81	74.82	317.8	1054.58	102.32
G10090_719	102640920	Pvrig	247	153	80	134	127	73.02	29	48
G10090_6664	68795	Ubr3	1068	1016	813	1113	1188	1031	1205	1129
G10090_769	56531	Ylpm1	1465	1457	1188	2036	1827	1539	1614	1481
G10090_12196	14651	Hagh	174.39	170.77	146.78	203	218	236.47	226.84	227.73
G10090_16981	69547	Nkpd1	1	0	3.89	1	2.01	0	5.53	0
G10090_9839	234776	Atmin	1122	1004	816	1131	1455	1432	985	870
G10090_10632	76167	Snrnp35	76	64	47	49	60	52	21	22
G10090_12236	16069	Jchain	151.4	95.9	147.33	122.78	1344.02	1534.97	48	100
G10090_12192	114713	Rasa2	933	832	825	1133.98	1137	1135	1192	1128
G10090_28798	106064	AW549877	2347	2502	1556	1998	1589	1501	1246	1310
G10090_22508	22019	Tpp2	2379	2287	1719	2360	2848	2808	2416	2589
G10090_10892	15458	Hpx	0	0	0	0	0	0	0	1
G10090_17593	22420	Wnt6	2	8	0	0	3	0	0	0
G10090_6070	67356	Tmco5	0	0	0	0	0	1	0	0
G10090_32868	17874	Myd88	1297	1132	869	1009	1669	1841	1665	1609
G10090_11533	114863	Plpbp	635	600	701	924	967	907	933	934
G10090_31986	27050	Rps3	34070	27665.99	18706	20963.03	24389.04	28262.06	41970.97	49412.99
G10090_29789	20773	Sptlc2	1343	1199	1262	1609	1436	1413	1147	1123
G10090_1371	73998	Herc3	1640	1550	1339	1716	1127	1055	2818	2555
G10090_12993	231724	Rad9b	106.35	82.66	68.49	62.62	45.47	81.12	118.44	112.57
G10090_21671	66225	Llph	1471.42	1309.28	977.99	1080.87	1103.34	1243.69	1380.86	1367.02
G10090_13253	241197	Serpinb10	6	1.82	16	22.33	19	15.99	1	17.92
G10090_6336	50917	Galns	498.87	402.15	157	184.23	554.76	536.16	482.06	391.92
G10090_8813	414084	Tnip3	149	117	85	98	120	117	6	5
G10090_4909	192652	Wdr81	1214.01	1170	803.05	1147.36	1334.01	1234	879.03	893.87
G10090_23148	219181	Akap11	1525.83	1279.11	1298.85	1911.78	1185.19	915.15	1294.54	1185.13
G10090_13929	214239	Ccdc9b	0	1	0	0	0	1	2	1
G10090_23255	94245	Dtnbp1	517	430	315	358	422	472	331	262
G10090_30720	106572	Rab31	103	92	61	89	305	315	63	47
G10090_16431	13605	Ect2	280	262	92	145	383	357	75	71
G10090_9775	227631	Sohlh1	0	2	0	2	1	1	1	0
G10090_21993	73822	Mfsd12	83.23	96.53	56.48	74	123.74	138.89	179.06	128.57
G10090_23050	237010	Klhl4	7	11	22	19	17	16	11	11
G10090_4342	20502	Slc16a2	11	2	0	4	103	104	19	14
G10090_7655	13137	Cd55b	25.01	29.58	15.04	26.79	30.8	13.19	53.85	56.12
G10090_7602	58217	Trem1	8	4	55	52	51	57	28	28
G10090_22932	381693	Wdr95	18	15	3	9	61	74	53	67
G10090_18222	545136	Fam186b	44	31	26	30	26	25	8	11
G10090_16356	67912	1600012H06Rik	357.82	289.28	262.41	371.11	285.69	345.41	213.33	223.58
G10090_6159	71059	Hexim2	60	50	36	33	66	78	31	20
G10090_15242	29857	Mapk12	14	13	23	24	29	27	2	7
G10090_12137	16833	Ldhc	0	0	0	0	1	0	0	0
G10090_2238	89867	Sec16b	4	2	1	2	17	6	3	6
G10090_15342	240880	Scyl3	1308.73	1168.42	961.77	1273.02	1107.47	1134.96	1086.09	989.64
G10090_6260	74132	Rnf6	1065	907	764	979	1085	1101	672	679
G10090_14364	72075	Ogfr	2199	1868	2292	2609	2455	2654	3425	3001
G10090_33430	12869	Cox8b	0	1	0	0	0	0	0	0
G10090_11775	68854	Asb11	0	0	0	0	0	0	0	1
G10090_2286	76608	Hectd3	1250	1059	967	1207	1390	1446	1441	1394
G10090_17347	20649	Sntb1	153	98	248	360	291	226	510	481
G10090_11458	73582	Camkmt	111.99	115.07	166	203.33	168.05	161.65	106.27	89.23
G10090_394	22033	Traf5	717	615	687	903	840	892	786	728
G10090_31573	21946	Pglyrp1	1761	1697	1345	1622	1581	1715	360	440
G10090_11656	20686	Spa17	23	8	5	8	10	5	2	2
G10090_373	20382	Srsf2	6743.96	6555.46	5426.32	7501.36	6599.28	7109.5	9868.63	8882.51
G10090_33032	108169201	Gm46988	0	1	0	2	0	0	0	4.05
G10090_29184	751864	Gm9733	1	1	10	3	12	13	5	7
G10090_18780	69352	Necab1	0	5.79	5.26	4.33	3.54	0.97	3.68	5.39
G10090_2875	66148	Dnajc15	2262	1980	336	487	968	1070	1830	2182
G10090_25446	73708	Dppa3	1	1	0	0	0	0	0	0
G10090_6113	252870	Usp7	4169	3661	3681	5349	4913	4785	6232	6015
G10090_2094	11607	Agtr1a	2	4	2	2	6	9	0	1
G10090_13949	217069	Trim25	1799.25	1675.29	1861.99	2108.08	1986.83	1910.04	2954.35	2427.95
G10090_1683	12337	Capn5	15	12	28	36	87	72	20	15
G10090_11581	22637	Zap70	9761	8850	6641	7463	8508	9012	5194	4998
G10090_2842	21379	Tbrg4	1597.91	1488.94	915.34	1289.42	1647.55	1850.31	2242.99	2164.79
G10090_17284	19358	Rad23a	1592.69	1392.73	814.62	1064.74	1373.6	1474.4	1336.19	1446.58
G10090_4459	228536	Bahd1	1974	1616	1446	2032	1370	1340	1681	1546
G10090_17578	109054	Pfdn4	254	242	164	154	231	297	154	156
G10090_21732	218397	Rasa1	2518.7	2400.13	2438.96	3387.24	3133.43	3053.38	2052.16	2282.45
G10090_8251	70166	Lipn	1.01	0	0	0	0	0	0	0
G10090_19748	83675	Bicc1	0	1	0	1	0	0	0	0
G10090_31641	67166	Arl8b	1267	1106	1108	1241	1497	1529	1419	1385
G10090_17353	100732	Mapre3	111	112	128	164	283	289	179	138
G10090_6036	18015	Nf1	363	373	360	491	383	372	241	172
G10090_13097	52679	E2f7	95	87	5	15	170	185	12	15
G10090_20206	18718	Pip4k2a	5966	5195	4897	6773	4789	4768	4126	4179
G10090_24875	442838	A830021F12Rik	0	0	1	0	1	0	0	0
G10090_33387	68133	Gcsh	378	307	145	152	350	381	144	169
G10090_16529	14682	Gnaq	1120.74	1032.08	761.77	850.08	768.4	683.25	121.7	94.12
G10090_6019	23971	Papss1	789.08	694.89	464.58	536.68	704.62	741.8	536.03	475.57
G10090_4690	69129	Pex11g	131	121	131	223	132	149	157	152
G10090_31248	140559	Igsf8	800	770	385	478	537	591	314	256
G10090_10777	26432	Plod2	339	248	759	1072	475	413	36	46
G10090_29446	14230	Fkbp10	5.23	3	1	2	2.08	7.19	6	2.08
G10090_29146	237504	Rassf9	1	0	0	0	0	0	0	0
G10090_12078	241490	Rbm45	1108	975	390	492	927	1021	493	534
G10090_5252	217980	Larp4b	1952.76	1674.37	1116.13	1519.02	1791.26	1676.12	1238.82	1006.46
G10090_18151	79566	Sh3bp5l	574	488	412	495	382	362	314	361
G10090_2915	11434	Acr	4.02	10.11	2.96	8.83	6.1	7.58	16.75	6.12
G10090_5742	12361	Cask	340	348.14	159.6	225	353.21	314.01	22	36
G10090_232	13507	Dsc3	0	0	0	0	0	0	0	0
G10090_3174	56844	Tssc4	314	275	208	209	338	412	189	156
G10090_29368	68514	Micu2	2084	1693	1345	1612	1749	1857	1145	1179
G10090_33484	67994	Mrps11	417	288	144	165	345	399	229	217
G10090_33081	68059	Tm9sf2	1817	1606	1401	1588	1704	1580	1520	1559
G10090_4658	57785	Rangrf	171	134	46	40.11	167.04	175	121	112
G10090_23368	192156	Mvd	285	226	80	86	301	278	360	332
G10090_18924	14733	Gpc1	4	7	9	12.05	88	74	463.24	237
G10090_32594	218442	Serinc5	790	787	1433	1860	1870	1690	217	248
G10090_7044	216964	Trp53i13	121	93	197	249	153	193.4	278.26	254
G10090_11553	74125	Armc8	725.01	663.36	694.42	882.44	588.03	584.19	861.91	797.8
G10090_8238	71393	Kctd6	92.37	109.97	134.64	163.16	168.57	166.17	127.09	162.06
G10090_5897	100310872	Dynlt1a	103.91	96.8	108.23	90.89	93.39	72.67	22.43	23.04
G10090_16290	208718	Dis3l2	713	678	549	694	654	709	645	597
G10090_18930	242705	E2f2	1587	1312	500	630	2320	2368	265	217
G10090_28588	98256	Kmo	13	4	15	18	35	59	14	17
G10090_24257	69024	Snx15	277	224	208	238	273	289	394	319
G10090_25537	105245668	Gm26650	0	0	0	1	0	0	0	0
G10090_9895	235132	Zbtb44	1229.06	1048.91	1224.14	1567.22	1064.09	981.78	1505.79	1542.02
G10090_802	76866	Morn1	24.3	28.64	12.14	23.44	58.31	58	14.34	13.57
G10090_7566	232975	Atp1a3	28	17	55	69	494	521	65	29
G10090_33900	67698	Fam174a	366	323	345	376	302	329	233	216
G10090_1027	66511	Chtop	3092	2791	2612	3506	2799	2927	3075	3143
G10090_26183	67049	Pus3	485	491	350	424	332	351	428	437
G10090_28830	231887	Pdap1	1495	1241	740	849	1411	1640	938	950
G10090_19923	105148	Iars	1654	1451	906	1226.9	1556	1386	1006	1017
G10090_18143	68799	Rgmb	62.22	65.23	440.56	432.94	78.2	91.47	220.58	167.26
G10090_27931	21762	Psmd2	3812	3373	1946	2359	3963	4071	2089	2080
G10090_13905	26372	Clcn6	280	272	483	600	287	289	432	499
G10090_7392	227522	Rpp38	126.15	145.24	136.48	132.1	56.37	65.37	73.54	64.87
G10090_816	503692	Aym1	0	0	0	0	0	1	0	0
G10090_25858	76425	Gid8	1455.88	1253.29	803.48	979.73	1207.53	1211.04	889.36	857.17
G10090_16124	93739	Gabarapl2	1370.53	1191	1124	1209	1333	1406.38	950	978
G10090_13023	76014	Zc3h18	1894	1670	1133	1665	1937	1958	1900	1869
G10090_31494	102636264	Gm33378	34.29	36.74	19.02	33.34	23.03	18.51	25.18	22.41
G10090_33549	230316	Megf9	13	9	31	58	53	63	69	63
G10090_12227	623534	Nme9	0	0	0	0	0	0	0	0
G10090_5955	56379	Kcnj1	15	25	9	17.1	4	2	1	3
G10090_12974	213002	Ifitm6	4	4	25	33	42	48	12	14
G10090_15372	71149	Tex52	0	1.03	0	1	1.03	0	0	0
G10090_3427	403185	Cfap97d2	0	0	0	2	0	0	0	1
G10090_638	279572	Tlr13	16	10	43	56	63	70	26	39
G10090_4965	243819	Ppp6r1	7792.03	6545.1	4770.14	6809.82	6379.96	6617.47	9583.96	8733.44
G10090_11741	74748	Slamf8	14.41	16.99	34.62	50.82	40.13	43.28	37.76	33.28
G10090_4135	242202	Pde5a	5.07	3.89	6.52	11.82	13.54	8.45	14.79	13.64
G10090_2346	241950	Bbs12	148	160	107	123	66	83	26	24
G10090_8640	70533	Btf3l4	1667	1488	795	858	997	1032	508	563
G10090_30979	11927	Atox1	453	345	290	273	521	593	307	294
G10090_19973	52588	Tspan14	1564	1270	1711	2010	1482	1516	1501	1372
G10090_27240	12042	Bcl10	1263	1034	1105	1370	1631	1713	1998	1932
G10090_26869	72549	Reep4	629	612	560	703	767	827	892	879
G10090_277	224022	Slc7a4	0	0	0	2	4	7	9	7
G10090_5428	53970	Rfx5	1020	966	707	813	836	839	701	573
G10090_17866	240328	F830016B08Rik	60.47	84.42	161.23	221.1	90.37	53.72	316.12	233.21
G10090_16414	17752	Mt4	0	0	0	0	9	5	0	0
G10090_18113	16635	Klra4	1	0	2	1	15.85	25	34.6	57.9
G10090_3098	72230	Zfp558	29.5	38.05	31.45	39.89	33.69	22.62	23.94	27.09
G10090_22201	231605	Galnt9	432	363	120	200	372	442	141	142
G10090_22529	11987	Slc7a1	2247.15	2036.72	963.88	1225.16	2150.52	1994.85	1655.39	1456.24
G10090_14023	103775	Slc25a41	4	6	7	3	6	4	6.01	3
G10090_7109	105247125	105247125	1581.77	1399.42	3403.48	2889.46	1168.58	1184.91	741.54	604.08
G10090_21141	83408	Gimap3	17364.06	16203.2	15535.66	17052.36	14537.77	15580.81	12610.48	10362.21
G10090_14237	15529	Sdc2	1	0	1	2	2	0	1	4
G10090_12548	19348	Kif20a	934.81	805.26	88.73	114.03	1016.97	1020.04	57.17	66.09
G10090_12973	54368	Gp9	1	0	6	4	5	2	2	1
G10090_11638	14884	Gtf2h1	969	922	537	771	1292	1174	980	1078
G10090_2790	16201	Ilf3	2536	2264	1422	1979	2183	2073	1991	1964
G10090_19964	208982	Hmgcll1	14.49	15.87	9.4	11.75	15.79	13.06	13.02	23.75
G10090_23102	73234	Snorc	0	1	0	0	0	0	0	0
G10090_16695	11492	Adam19	2094.4	1561.56	4621.47	6188.21	3876.91	3545.39	2478.89	1767.13
G10090_13235	70381	Tecpr1	3625	3236	1895	2581	3444.02	3310	5734	5314.01
G10090_27080	66070	Cwc15	1943	1610	1203	1516	1715	2049	1481	1561
G10090_12109	21954	Tnni3	2	5	4	2	6	7	8	3
G10090_5351	73167	Arhgap8	1	0	0	1	0	1	0	0
G10090_24793	72433	Rab38	2	1	1	1	6	10	3	7
G10090_11358	211147	11-Mar	0	0	0	0	0	1	0	0
G10090_18877	619597	Gal3st2c	11.77	6.01	9.89	16.05	12.1	10.05	25.05	19.81
G10090_13864	224139	Golgb1	757	769	695	1214	983	776	1129	957
G10090_13707	320165	Tacc1	4069	3372	3636	4800	3991	3557	3561	3451
G10090_8157	12964	Cryga	0	0	0	0	0	1	0	0
G10090_32301	68680	Fitm1	0	1	0	2	1	1	1	0
G10090_3264	235461	Mindy2	1295.3	1168	807	1061	1231	1053.4	996	905
G10090_16805	93896	Glp2r	1	1	2	1	1	0	1	0
G10090_11303	68713	Ifitm1	26	30.5	17.15	22.32	198.56	182.41	12.35	7.16
G10090_15755	102642160	Gm22496	2	7	4	13.48	4	3	2	3
G10090_26436	75429	Fam183b	0	0	0	3	1	3	2	0
G10090_1615	14711	Gnmt	3	4	8	10	2	5	5	6
G10090_9423	14238	Foxf2	0	0	0	0	0	0	0	0
G10090_3944	108812	Als2cr12	4.01	5	14.88	13	20	15	40.52	45.09
G10090_16564	69934	Trmt10b	148	117	123	152	142	142	172	188
G10090_10008	50873	Prkn	9.36	3.98	9.8	25.61	8.25	8.84	19.27	15.58
G10090_10969	70579	Zc3h11a	3523	3629	3295	4362	3719	3659	4231	3988
G10090_7924	66153	Fbxo36	11.77	19	2	3.9	14	12	9	9
G10090_7072	53624	Cldn7	0	0	0	0	2	3	0	0
G10090_4261	78755	Fam122b	369	317	267	309	266	284	276	242
G10090_8723	20841	Zfp143	551	623	533	654	513	476	428	504
G10090_9221	269513	Nkain3	57.88	53.95	48.14	68.66	57.02	47.78	48.12	47.21
G10090_30604	67091	Trappc6a	575	449	171	194	442	524	301	268
G10090_32778	66357	Ostc	2026	1694	1061	1152	1829	1855	1099	1120
G10090_3399	11798	Xiap	2405	2116.31	1422.96	2081	2105.03	1825	1368.97	1368.72
G10090_10393	210126	Lpp	430.69	401.95	247.46	325.45	749.57	622.98	368.49	376.25
G10090_31319	75581	Yipf7	0	0	1	0	0	0	0	0
G10090_18711	72560	Naalad2	0	0	4	1	5	4	4	5
G10090_3259	57816	Tesc	112	110	12	18	264	327	164	134
G10090_20704	214384	Myocd	0	0	0	0	0	0	0	0
G10090_8224	241633	Atp8b4	2222	2012	865	1398	1420	1209	2082	2081
G10090_29675	432879	Kbtbd6	14.08	13.29	3.8	10.91	22.14	29.45	11.61	3.9
G10090_10582	100504180	LOC100504180	1	0	0	0	1	0	0	0
G10090_10475	56524	Mpp6	810	715	262	348	766	823	342	352
G10090_1516	242557	Atg4c	5.99	4.13	65.21	67.26	15.16	8.78	7.4	15.18
G10090_6428	12374	Casr	0	0	0	1	1	2	0	0
G10090_10033	17294	Mest	329.26	229.55	1499.53	1831.39	932.85	941.04	37.6	62.08
G10090_19836	69309	Slc16a13	554	440	306	326	165	141	55	63
G10090_14792	406219	Krt87	0	0	0	0	0	0	0	0
G10090_18141	67788	Sfr1	2283.03	1941.21	1427.38	2153.96	2503.85	2563.01	2030.33	2231.3
G10090_2251	268297	Scml4	1801.86	1580.79	1802.76	2457.12	1322.15	1276.89	3271.8	2835.43
G10090_20508	56456	Actl6a	1376	1173	845	994	1262	1342	694	776
G10090_20343	328099	Prps1l3	1110.39	1013.73	911.24	1130.43	978.67	983.47	1079.7	1115.53
G10090_5891	54614	Prpf40b	119.55	127.83	158.2	231.9	125.11	105	168.02	139
G10090_28668	216188	Aldh1l2	0	0	1	1	3	4	0	0
G10090_20590	664799	Ctcfl	0.3	2.91	6.67	2.72	6.4	6.75	0.25	6.52
G10090_166	67588	Rnf41	501	429	263	343	401	386	277	242
G10090_26844	100862398	Gm21708	0	0	0	0	0	0	0	0
G10090_1760	16328	Cep250	2699	2322	1482	2238	2519	2358	1547	1529
G10090_3001	18511	Pax9	66.13	50.05	246.81	299.54	30.2	19.32	14.41	7.03
G10090_11036	12824	Col2a1	2	3	1	4	2	1	0	2
G10090_32364	12892	Cpox	708.09	566.46	460.26	553.09	874.62	866.99	428.98	420.56
G10090_28501	100043039	Gm4184	264.34	220.84	142.3	157.67	252.81	312.75	157.94	185.96
G10090_24285	16158	Il11ra2	0.74	0.83	3.88	3.98	2.45	0.79	4.74	5.81
G10090_22522	104570	Ppp4r3b	4113.17	3740.06	2773.24	3449.4	3901.86	3735.86	2912.91	2901.94
G10090_7162	16601	Klf9	396	289	969	997	284	269	202	207
G10090_4647	223776	Selenoo	760.7	698.39	587.38	650.46	619.2	778.41	630.75	600.72
G10090_3964	67533	Ppfibp1	836	685	855	1143	828	768	71	96
G10090_18931	12801	Cnr1	4	6	0	0	0	0	0	2
G10090_22084	68659	Fam198b	8.2	6.14	5.02	13.05	13.6	8.39	9.48	11.23
G10090_18589	20333	Sec22b	762.03	648.78	485.7	655.74	721.97	746.58	607.7	571.65
G10090_16117	74616	Scrn3	85	70	40	58	118	117	53	52
G10090_31173	99929	Tiparp	1337	1069	2149	3050	2443	2411	2051	1780
G10090_28208	76072	Rnf183	1	1	0	0	1	0	2	0
G10090_8352	13202	Ddt	415	310	195	183	421	503	259	258
G10090_11696	218629	Dhx29	950	844	463	731	830	832	586	570
G10090_885	50798	Gne	501	419	403	546	467	495	668	582
G10090_2107	17242	Mdk	54	28	24	23	43	76	24	37
G10090_12334	93681	Zkscan8	399.08	393.53	228.13	296.12	206.12	173.15	125.3	103.17
G10090_20297	214601	Slc10a3	394.14	341.41	296.68	354.42	334.18	346.06	359.51	321.15
G10090_4320	75530	Lyrm7	88.16	65	46.08	47.01	59.98	65.05	89.26	107
G10090_9564	270198	Pfkfb4	86.03	80.01	105.59	129.48	79	82.19	85.61	84.75
G10090_12385	53601	Pcdh12	0	0	0	2	0	0	1	1
